X,Y,Z
150.0,0.0,0.0
114.48,144.34,25.79
111.019,162.452,25.791
114.521,180.55,25.787
118.035,186.582,25.785
111.041,198.592,25.772
114.602,216.816,25.755
114.62,228.9,25.75
132.056,234.924,25.761
135.512,216.8,25.77
131.97,174.512,25.795
135.197,180.746,25.796
131.953,162.435,25.794
135.422,144.325,25.794
135.428,132.238,25.794
152.84,126.138,25.801
156.343,144.275,25.804
159.839,150.297,25.808
152.896,162.396,25.807
156.374,180.505,25.816
152.924,198.634,25.81
156.409,216.767,25.804
152.958,234.893,25.786
145.978,246.993,25.776
156.444,253.019,25.781
177.383,265.091,25.768
177.377,253.008,25.778
173.876,234.871,25.803
170.369,228.823,25.809
177.314,216.743,25.839
173.829,198.608,25.851
177.304,180.491,25.846
173.823,162.365,25.824
177.256,144.241,25.813
173.721,126.098,25.805
166.727,114.021,25.803
177.139,107.963,25.802
194.55,101.9,25.8
205.026,107.958,25.802
194.624,126.081,25.806
198.187,144.223,25.817
194.756,162.349,25.833
198.232,180.483,25.859
194.74,198.6,25.88
198.246,216.735,25.853
194.809,234.86,25.807
198.313,253.006,25.772
194.84,271.14,25.76
208.778,259.044,25.77
219.261,252.986,25.779
222.761,246.923,25.783
215.767,234.845,25.799
219.222,216.723,25.823
215.711,198.605,25.851
219.185,180.472,25.84
215.704,162.333,25.83
219.154,144.206,25.822
215.604,126.074,25.812
222.603,126.06,25.816
215.557,113.993,25.807
236.633,126.055,25.825
240.144,144.177,25.832
236.669,162.309,25.829
233.159,180.447,25.827
240.15,180.453,25.823
236.7,198.587,25.814
240.234,216.697,25.787
236.776,234.811,25.776
236.779,246.907,25.775
257.77,234.8,25.76
261.214,216.683,25.772
257.657,198.563,25.798
261.099,180.44,25.818
257.612,162.289,25.833
261.1,144.15,25.84
250.621,138.126,25.837
