X,Y,Z,hole
122.051,177.424,25.79,S02
113.892,194.301,25.79,S03
116.091,199.541,25.789,S04
101.182,194.991,25.786,S05
116.036,232.722,25.78,S07
139.288,237.951,25.784,S08
137.091,227.262,25.787,S09
135.913,209.766,25.79,S10
136.636,193.215,25.793,S11
141.845,175.153,25.791,S12
132.01,138.731,25.789,S14
145.886,137.063,25.784,S15
154.921,148.783,25.79,S16
160.012,156.824,25.792,S17
157.38,173.992,25.795,S18
161.91,229.885,25.8,S21
165.851,247.436,25.793,S22
167.576,267.097,25.792,S24
180.499,275.71,25.791,S25
179.461,268.569,25.793,S26
188.83,252.536,25.801,S27
185.928,244.962,25.804,S28
186.214,233.348,25.817,S29
181.72,212.402,25.823,S30
176.445,193.269,25.819,S31
181.411,153.706,25.789,S33
180.067,138.003,25.777,S34
197.247,112.811,25.76,S37
198.215,109.644,25.763,S38
200.58,145.872,25.788,S40
202.205,171.353,25.805,S41
193.997,182.565,25.826,S42
200.197,203.674,25.84,S43
205.177,224.65,25.824,S44
209.171,244.392,25.803,S45
196.516,257.369,25.792,S46
197.928,275.187,25.79,S47
199.15,260.906,25.79,S48
209.78,253.467,25.788,S49
221.73,250.413,25.786,S50
214.07,242.317,25.794,S51
208.161,220.501,25.805,S52
205.884,170.781,25.8,S55
205.222,127.313,25.777,S57
202.777,117.744,25.771,S59
236.718,168.387,25.793,S62
234.672,216.279,25.779,S66
247.922,247.737,25.774,S68
257.668,238.354,25.76,S69
256.511,153.165,25.79,S74
