x_offset,y_offset,z_offset,hole,image
3.972,-0.644,0.0,S67,332
7.302,18.046,0.0,S26,127
12.22,19.709,0.0,S29,141
0.547,4.64,0.0,S46,226
3.87,15.384,0.0,S18,87
6.003,11.818,0.0,S74,366
-8.462,4.293,0.0,S59,291
11.525,16.995,0.0,S24,116
7.755,18.452,0.0,S35,171
-12.932,17.94,0.0,S03,12
-4.085,3.458,0.0,S66,327
8.594,13.453,0.0,S25,121
-0.913,8.792,0.0,S08,37
4.472,0.779,0.0,S40,196
-7.566,10.94,0.0,S01,2
-13.823,8.651,0.0,S07,32
5.031,10.093,0.0,S37,181
2.721,6.939,0.0,S61,302
7.281,3.072,0.0,S47,231
-8.192,0.783,0.0,S58,286
2.058,6.967,0.0,S69,341
-3.947,4.011,0.0,S48,236
9.564,17.619,0.0,S32,156
-9.263,-0.056,0.0,S54,267
-7.236,-1.794,0.0,S73,362
1.774,17.377,0.0,S12,57
13.445,16.06,0.0,S22,107
4.467,10.028,0.0,S51,252
3.041,16.133,0.0,S31,151
-2.296,9.804,0.0,S55,272
6.823,18.49,0.0,S36,176
11.059,2.586,0.0,S43,212
3.706,10.229,0.0,S20,96
-6.692,0.3,0.0,S53,262
-8.877,2.489,0.0,S70,347
-9.415,13.144,0.0,S15,71
5.254,11.123,0.0,S34,166
-14.182,10.869,0.0,S14,66
-0.519,2.32,0.0,S38,186
-5.506,6.817,0.0,S52,256
12.318,15.951,0.0,S30,146
-14.625,17.378,0.0,S04,17
6.342,7.515,0.0,S50,247
5.703,17.538,0.0,S21,102
9.397,9.421,0.0,S41,201
-1.56,3.388,0.0,S42,206
7.435,7.111,0.0,S62,307
-6.371,0.873,0.0,S75,371
