x_offset,y_offset,z_offset,name,image
-0.818,11.427,0.0,S09,43
4.447,6.457,0.0,S68,336
1.325,12.249,0.0,S29,141
12.092,8.572,0.0,S32,157
2.69,5.707,0.0,S17,82
4.128,7.531,0.0,S18,87
1.104,7.859,0.0,S66,328
9.315,13.075,0.0,S27,132
5.341,5.095,0.0,S31,152
-10.451,13.614,0.0,S49,242
1.961,12.938,0.0,S13,62
7.802,6.74,0.0,S67,333
5.933,1.656,0.0,S75,372
-11.04,13.307,0.0,S52,257
5.614,4.124,0.0,S35,171
10.44,11.669,0.0,S47,232
-3.304,7.737,0.0,S71,353
4.697,5.585,0.0,S43,211
7.348,5.28,0.0,S30,147
-4.806,2.935,0.0,S03,12
3.772,7.94,0.0,S69,342
3.292,2.156,0.0,S40,197
-7.282,5.279,0.0,S57,282
-3.171,6.504,0.0,S08,38
3.218,12.277,0.0,S01,2
0.407,6.073,0.0,S15,72
-4.412,3.368,0.0,S07,32
-10.998,8.718,0.0,S37,181
0.348,7.279,0.0,S23,112
0.487,-0.536,0.0,S61,302
8.271,11.857,0.0,S28,137
12.345,5.201,0.0,S41,202
-15.444,7.535,0.0,S38,187
-2.793,14.182,0.0,S48,237
-9.536,8.446,0.0,S54,267
-2.489,6.138,0.0,S24,117
-1.08,10.769,0.0,S02,7
-2.133,8.948,0.0,S73,362
1.232,13.763,0.0,S12,57
1.091,4.024,0.0,S63,312
3.545,12.539,0.0,S14,67
0.477,8.724,0.0,S22,107
-0.255,10.601,0.0,S55,272
-3.407,4.919,0.0,S36,176
-0.055,4.119,0.0,S65,323
2.761,2.245,0.0,S20,96
-5.877,6.998,0.0,S58,287
-3.655,5.12,0.0,S74,367
-7.807,10.387,0.0,S53,262
4.469,3.558,0.0,S42,207
-1.236,12.471,0.0,S70,348
-6.495,2.399,0.0,S64,317
1.148,0.539,0.0,S60,296
2.093,3.821,0.0,S16,77
-12.694,10.262,0.0,S59,292
8.866,11.224,0.0,S45,222
1.131,-0.09,0.0,S39,192
0.979,0.531,0.0,S19,92
-6.021,1.807,0.0,S04,17
-0.141,12.689,0.0,S50,247
-5.841,6.893,0.0,S56,277
5.383,3.526,0.0,S34,167
-1.89,8.328,0.0,S21,102
-1.011,10.444,0.0,S44,216
-3.177,15.315,0.0,S51,253
2.97,12.563,0.0,S46,228
6.175,12.424,0.0,S26,128
3.167,2.995,0.0,S62,307
6.103,8.005,0.0,S25,122
-12.5,8.664,0.0,S72,358
6.657,4.9,0.0,S33,162
-2.118,4.598,0.0,S06,27
